id,artistName,projectName,description,url,image,projectType,releaseDate
big_apy,Josh Jacobs,Big Apy,Portfolio item featuring Big Apy. Click to discover more about this project.,https://google.com/search?q=big_apy,images/big_apy.jpg,Music Production,2023-06-15
big_beber,Josh Jacobs,Big Beber,Portfolio item featuring Big Beber. Click to discover more about this project.,https://google.com/search?q=big_beber,images/big_beber.jpg,Music Production,2024-02-20
big_eat,Josh Jacobs,Big Eat,Portfolio item featuring Big Eat. Click to discover more about this project.,https://google.com/search?q=big_eat,images/big_eat.jpg,Graphic Design,2023-09-05
big_lsfe,Josh Jacobs,Big Lsfe,Portfolio item featuring Big Lsfe. Click to discover more about this project.,https://google.com/search?q=big_lsfe,images/big_lsfe.jpg,Web Development,2023-11-12
big_monk,Josh Jacobs,Big Monk,Portfolio item featuring Big Monk. Click to discover more about this project.,https://google.com/search?q=big_monk,images/big_monk.jpg,Graphic Design,2024-01-30
big_sfrp,Josh Jacobs,Big Sfrp,Portfolio item featuring Big Sfrp. Click to discover more about this project.,https://google.com/search?q=big_sfrp,images/big_sfrp.png,Music Production,2022-08-18
iocl_lil,Josh Jacobs,Iocl Lil,Portfolio item featuring Iocl Lil. Click to discover more about this project.,https://google.com/search?q=iocl_lil,images/iocl_lil.jpg,Web Development,2025-04-10
kah-small,Josh Jacobs,Kah-small,Portfolio item featuring Kah-small. Click to discover more about this project.,https://google.com/search?q=kah-small,images/kah-small.jpg,Photography,2025-03-22
lil_apy,Josh Jacobs,Lil Apy,Portfolio item featuring Lil Apy. Click to discover more about this project.,https://google.com/search?q=lil_apy,images/lil_apy.png,Photography,2024-07-15
lil_big_big_big,Josh Jacobs,Lil Big Big Big,Portfolio item featuring Lil Big Big Big. Click to discover more about this project.,https://google.com/search?q=lil_big_big_big,images/lil_big_big_big.jpg,Web Development,2025-06-01
lil_big_p,Josh Jacobs,Lil Big P,Portfolio item featuring Lil Big P. Click to discover more about this project.,https://google.com/search?q=lil_big_p,images/lil_big_p.png,Graphic Design,2025-05-10
lil_blckteeshrt,Josh Jacobs,Lil Blckteeshrt,Portfolio item featuring Lil Blckteeshrt. Click to discover more about this project.,https://google.com/search?q=lil_blckteeshrt,images/lil_blckteeshrt.jpg,Photography,2024-12-05
